time,theta,Cd,forcex
0.568,0.171294917,-0.12279658,-0.061287773
0.572,0.171156403,-0.125987796,-0.062880509
0.576,0.170989566,-0.128893981,-0.064330986
0.58,0.17079432,-0.132071708,-0.065916989
0.584,0.170570583,-0.135162843,-0.067459775
0.588,0.170318276,-0.138160149,-0.06895573
0.592,0.170037326,-0.140950392,-0.07034834
0.596,0.169727664,-0.143975645,-0.071858244
0.6,0.169389224,-0.146627213,-0.073181642
0.604,0.169021948,-0.149389708,-0.074560403
0.608,0.168625778,-0.152063362,-0.075894824
0.612,0.168200663,-0.154683032,-0.077202301
0.616,0.167746556,-0.157254582,-0.078485762
0.62,0.167263414,-0.159804058,-0.079758205
0.624,0.1667512,-0.162305182,-0.081006516
0.628,0.16620988,-0.164944126,-0.082323613
0.632,0.165639425,-0.167430253,-0.083564439
0.636,0.165039811,-0.169272515,-0.084483912
0.64,0.164411019,-0.171487297,-0.08558931
0.644,0.163753033,-0.173601846,-0.086644681
0.648,0.163065843,-0.176062558,-0.087872823
0.652,0.162349444,-0.177902175,-0.088790975
0.656,0.161603834,-0.179667881,-0.089672239
0.66,0.160829018,-0.181817546,-0.090745137
0.664,0.160025005,-0.183518952,-0.091594309
0.668,0.159191807,-0.185082043,-0.092374448
0.672,0.158329443,-0.18680564,-0.093234695
0.676,0.157437936,-0.188202558,-0.093931897
0.68,0.156517314,-0.189689032,-0.094673796
0.684,0.15556761,-0.191143864,-0.095399902
0.688,0.15458886,-0.192385481,-0.096019594
0.692,0.153581107,-0.193323633,-0.096487825
0.696,0.1525444,-0.194726189,-0.097187841
0.7,0.151478788,-0.195571618,-0.097609795
0.704,0.150384331,-0.195953098,-0.097800191
0.708,0.149261089,-0.196980713,-0.098313074
0.712,0.14810913,-0.197379814,-0.098512265
0.716,0.146928525,-0.198007941,-0.098825764
0.72,0.145719352,-0.198490931,-0.099066824
0.724,0.144481691,-0.198883053,-0.099262532
0.728,0.143215629,-0.199234138,-0.099437758
0.732,0.141921258,-0.199157748,-0.099399632
0.736,0.140598675,-0.199044599,-0.099343159
0.74,0.139247981,-0.199033165,-0.099337453
0.744,0.137869282,-0.19850532,-0.099074005
0.748,0.13646269,-0.198395223,-0.099019056
0.752,0.135028321,-0.197941038,-0.098792372
0.756,0.133566297,-0.197879878,-0.098761847
0.76,0.132076743,-0.197464994,-0.098554778
0.764,0.130559792,-0.196327053,-0.097986832
0.768,0.12901558,-0.195179556,-0.097414116
0.772,0.127444247,-0.194222263,-0.096936331
0.776,0.125845941,-0.193398216,-0.09652505
0.78,0.124220811,-0.192483195,-0.096068362
0.784,0.122569016,-0.190781779,-0.095219186
0.788,0.120890714,-0.189501036,-0.094579967
0.792,0.119186074,-0.187905629,-0.0937837
0.796,0.117455264,-0.186092039,-0.092878537
0.8,0.115698463,-0.183956961,-0.091812919
0.804,0.113915849,-0.182313471,-0.090992653
0.808,0.11210761,-0.180852625,-0.090263545
0.812,0.110273935,-0.17835201,-0.089015488
0.816,0.10841502,-0.175315676,-0.087500054
0.82,0.106531067,-0.173273129,-0.086480619
0.824,0.104622279,-0.17059026,-0.085141599
0.828,0.102688867,-0.168069088,-0.083883282
0.832,0.100731046,-0.165082999,-0.082392925
0.836,0.098749036,-0.161938741,-0.080823626
0.84,0.096743062,-0.158764551,-0.079239387
0.844,0.094713352,-0.15519865,-0.077459646
0.848,0.092660142,-0.152298336,-0.076012099
0.852,0.090583669,-0.149518886,-0.074624876
0.856,0.088484178,-0.145258419,-0.072498477
0.86,0.086361917,-0.141387859,-0.070566681
0.864,0.084217138,-0.137578743,-0.068665551
0.868,0.082050101,-0.134701168,-0.067229353
0.872,0.079861066,-0.130292833,-0.065029153
0.876,0.077650302,-0.126148891,-0.062960911
0.88,0.075418079,-0.121156384,-0.060469151
0.884,0.073164674,-0.116942322,-0.058365913
0.888,0.070890367,-0.111986789,-0.055892606
0.892,0.068595444,-0.107559891,-0.053683142
0.896,0.066280194,-0.103726172,-0.051769732
0.9,0.063944912,-0.097690927,-0.048757542
0.904,0.061589895,-0.09217115,-0.046002621
0.908,0.059215448,-0.087611562,-0.043726931
0.912,0.056821877,-0.083052144,-0.041451325
0.916,0.054409493,-0.07663224,-0.038247151
0.92,0.051978614,-0.070999184,-0.035435693
0.924,0.049529559,-0.065672875,-0.032777332
0.928,0.047062653,-0.06148127,-0.030685302
0.932,0.044578224,-0.054421779,-0.02716191
0.936,0.042076606,-0.048387549,-0.024150226
0.94,0.039558134,-0.042383347,-0.021153528
0.944,0.037023151,-0.037760682,-0.018846356
0.948,0.034472001,-0.031754134,-0.015848488
0.952,0.031905033,-0.023983299,-0.011970065
0.956,0.029322601,-0.017167858,-0.008568478
0.96,0.026725061,-0.011089042,-0.005534541
0.964,0.024112775,-0.006533573,-0.003260906
0.968,0.021486106,-0.001112397,-0.000555198
0.972,0.018845424,0.007820593,0.003903258
0.976,0.016191101,0.014576761,0.007275261
0.98,0.013523512,0.018925731,0.009445832
0.984,0.010843038,0.028142092,0.014045718
0.988,0.008150061,0.034187563,0.017063013
0.992,0.005444968,0.041252781,0.020589263
0.996,0.00272815,0.047035464,0.0234754
1,2.665E-17,0.055278854,0.027589676
1.004,-0.002739084,0.060242181,0.030066873
1.008,-0.005488702,0.06837919,0.034128054
1.012,-0.00824845,0.073884184,0.036875596
1.016,-0.011017921,0.082910137,0.04138045
1.02,-0.013796705,0.088522477,0.044181568
1.024,-0.016584388,0.093906527,0.046868748
1.028,-0.019380553,0.103159371,0.051486842
1.032,-0.022184781,0.110755259,0.05527795
1.036,-0.024996649,0.114461021,0.057127496
1.04,-0.027815732,0.12118114,0.060481507
1.044,-0.030641601,0.131918334,0.065840441
1.048,-0.033473825,0.137014335,0.068383855
1.052,-0.03631197,0.141091432,0.070418734
1.056,-0.039155599,0.153490653,0.076607185
1.06,-0.042004273,0.157774377,0.078745192
1.064,-0.044857549,0.162463769,0.081085667
1.068,-0.047714985,0.168986692,0.084341258
1.072,-0.050576132,0.17741565,0.088548151
1.076,-0.053440541,0.180500076,0.090087588
1.08,-0.056307761,0.189502275,0.094580585
1.084,-0.059177337,0.194912319,0.097280738
1.088,-0.062048814,0.202887571,0.101261187
1.092,-0.064921734,0.206279526,0.102954111
1.096,-0.067795635,0.209884642,0.104753425
1.1,-0.070670057,0.221716382,0.110658646
1.104,-0.073544533,0.226061936,0.112827512
1.108,-0.0764186,0.228131242,0.113860303
1.112,-0.079291787,0.23305607,0.116318285
1.116,-0.082163627,0.24429134,0.121925808
1.12,-0.085033647,0.246264655,0.122910689
1.124,-0.087901374,0.247602087,0.123578201
1.128,-0.090766335,0.255086829,0.127313836
1.132,-0.093628053,0.263003002,0.131264798
1.136,-0.096486051,0.263146621,0.131336478
1.14,-0.09933985,0.264407307,0.131965687
1.144,-0.102188971,0.275452424,0.137478305
1.148,-0.105032932,0.281455305,0.140474343
1.152,-0.107871252,0.275328538,0.137416473
1.156,-0.110703448,0.283237057,0.141363615
1.16,-0.113529035,0.28882247,0.144151295
1.164,-0.116347528,0.293738846,0.146605058
1.168,-0.119158442,0.288163306,0.143822306
1.172,-0.121961291,0.296470473,0.147968413
1.176,-0.124755587,0.302199466,0.150827754
1.18,-0.127540843,0.301989455,0.150722937
1.184,-0.13031657,0.299571589,0.14951618
1.188,-0.13308228,0.304919296,0.152185221
1.192,-0.135837485,0.307886292,0.153666048
1.196,-0.138581695,0.309484297,0.154463612
1.2,-0.141314421,0.306547189,0.152997702
1.204,-0.144035174,0.309578686,0.154510722
1.208,-0.146743463,0.312000008,0.155719204
1.212,-0.149438801,0.312406599,0.155922134
1.216,-0.152120697,0.309049242,0.154246477
1.22,-0.154788663,0.313831326,0.156633215
1.224,-0.157442209,0.312265144,0.155851534
1.228,-0.160080849,0.312640153,0.1560387
1.232,-0.162704093,0.309687006,0.154564785
1.236,-0.165311455,0.309092969,0.154268301
1.24,-0.167902448,0.308928986,0.154186457
1.244,-0.170476585,0.307611662,0.15352898
