,time,,,Cd,theta
91,0.364,4.005058836,-0.415356307,0.501535118,0.431784037
92,0.368,3.929192529,-0.399830205,0.492034729,0.43052296
93,0.372,3.817728833,-0.378776893,0.478076642,0.429108921
94,0.376,3.756347388,-0.36721437,0.470390126,0.427542421
95,0.38,3.672499203,-0.351037713,0.459890203,0.425824018
96,0.384,3.580811653,-0.335403241,0.448408592,0.423954321
97,0.388,3.487271623,-0.319175847,0.436695004,0.421933996
98,0.392,3.404008583,-0.305265826,0.426268356,0.419763759
99,0.396,3.308070118,-0.28838826,0.414254423,0.417444382
100,0.4,3.25124962,-0.279273133,0.407139053,0.41497669
101,0.404,3.123704351,-0.257657908,0.391167145,0.412361558
102,0.408,3.056886958,-0.247485049,0.38279991,0.409599915
103,0.412,2.969185566,-0.234019501,0.371817467,0.406692744
104,0.416,2.871566172,-0.217777906,0.359593039,0.403641077
105,0.42,2.733265808,-0.194961616,0.34227432,0.400445999
106,0.424,2.669683933,-0.185827185,0.334312254,0.397108643
107,0.428,2.619835116,-0.180219634,0.328069915,0.393630197
108,0.432,2.485025858,-0.157066745,0.311188371,0.390011896
109,0.436,2.388898507,-0.142946111,0.299150785,0.386255026
110,0.44,2.2885835,-0.126918865,0.286588797,0.382360921
111,0.444,2.18336549,-0.109513115,0.273412829,0.378330965
112,0.448,2.096520766,-0.097272431,0.262537664,0.374166589
113,0.452,1.991198178,-0.080392871,0.2493486,0.369869275
114,0.456,1.951064969,-0.077377692,0.244322902,0.365440547
115,0.46,1.844921906,-0.059828699,0.231031094,0.36088198
116,0.464,1.790106736,-0.054132592,0.224166842,0.356195193
117,0.468,1.635955358,-0.025816659,0.204863173,0.351381852
118,0.472,1.597826493,-0.024964384,0.200088471,0.346443667
119,0.476,1.515168326,-0.011902198,0.189737568,0.341382392
120,0.48,1.453888286,-0.004741251,0.18206375,0.336199825
121,0.484,1.328982245,0.019951396,0.166422341,0.330897809
122,0.488,1.2714269,0.02645755,0.159214949,0.325478225
123,0.492,1.198950837,0.039237945,0.150139105,0.319943001
124,0.496,1.080705758,0.062458395,0.135331817,0.314294103
125,0.5,1.039155449,0.068239195,0.130128663,0.308533537
126,0.504,0.985864691,0.073379858,0.123455306,0.302663351
127,0.508,0.85727285,0.103487345,0.10735234,0.29668563
128,0.512,0.797244617,0.114141164,0.099835281,0.290602499
129,0.516,0.782373704,0.112560513,0.097973064,0.284416117
130,0.52,0.705700157,0.128758857,0.088371588,0.278128684
131,0.524,0.58236486,0.160936898,0.072926876,0.271742433
132,0.528,0.557796869,0.165335564,0.069850339,0.265259633
133,0.532,0.479316566,0.186390885,0.060022611,0.258682588
134,0.536,0.43466552,0.197582529,0.054431166,0.252013634
135,0.54,0.394233058,0.208456338,0.049367995,0.24525514
136,0.544,0.318477166,0.230884685,0.039881432,0.238409509
137,0.548,0.277510352,0.244868104,0.034751346,0.231479172
138,0.552,0.248294487,0.253646733,0.031092778,0.224466592
139,0.556,0.244334215,0.250824432,0.030596851,0.217374259
140,0.56,0.196321769,0.269508312,0.024584473,0.210204695
141,0.564,0.186655861,0.274063244,0.023374056,0.202960446
142,0.568,0.182562358,0.274880482,0.022861445,0.195644086
143,0.572,0.166041013,0.278612382,0.020792553,0.188258214
144,0.576,0.154804061,0.286327333,0.019385401,0.180805456
145,0.58,0.11511544,0.309625375,0.014415378,0.173288458
146,0.584,0.118887428,0.307205264,0.014887726,0.165709891
147,0.588,0.129296583,0.304104309,0.016191217,0.158072449
148,0.592,0.122562244,0.315595659,0.015347907,0.150378844
149,0.596,0.130268062,0.314246658,0.016312871,0.14263181
150,0.6,0.127965966,0.323779273,0.01602459,0.1348341
151,0.604,0.158260811,0.316128244,0.019818274,0.126988484
152,0.608,0.192957228,0.307105864,0.024163147,0.119097749
153,0.612,0.211892885,0.300434219,0.026534372,0.1111647
154,0.616,0.236118088,0.298081625,0.029567983,0.103192154
155,0.62,0.256539351,0.299823737,0.032125244,0.095182945
156,0.624,0.284259256,0.293062093,0.035596481,0.087139918
157,0.628,0.314390525,0.287999299,0.039369681,0.07906593
158,0.632,0.347107284,0.273888053,0.043466651,0.07096385
159,0.636,0.376634609,0.267060895,0.047164222,0.062836558
160,0.64,0.415638645,0.254430629,0.052048518,0.05468694
161,0.644,0.445472401,0.24831818,0.055784462,0.046517892
162,0.648,0.487452044,0.231514098,0.06104138,0.038332316
163,0.652,0.515267013,0.224095288,0.064524521,0.030133121
164,0.656,0.551461347,0.201084984,0.069056971,0.02192322
165,0.66,0.581855789,0.200239211,0.072863127,0.013705529
166,0.664,0.620456418,0.190326112,0.077696907,0.005482969
167,0.668,0.655493851,0.17722394,0.082084483,-0.002741539
168,0.672,0.685628633,0.156799937,0.085858124,-0.010965073
169,0.676,0.71374003,0.155127683,0.089378385,-0.019184711
170,0.68,0.758819452,0.146519316,0.095023474,-0.027397533
171,0.684,0.794791653,0.139166889,0.099528107,-0.03560062
172,0.688,0.820636132,0.141629562,0.102764493,-0.043791059
173,0.692,0.863477024,0.147973913,0.108129261,-0.051965939
174,0.696,0.906135263,0.157168474,0.113471156,-0.060122356
175,0.7,0.954967942,0.175750883,0.119586248,-0.068257412
176,0.704,1.010187254,0.197619626,0.126501109,-0.076368216
177,0.708,1.07398318,0.230242026,0.134489979,-0.084451887
178,0.712,1.147568576,0.264071525,0.143704741,-0.092505553
179,0.716,1.234913483,0.306385489,0.154642542,-0.100526351
180,0.72,1.324509825,0.355902985,0.16586228,-0.108511434
181,0.724,1.427052729,0.406914714,0.178703257,-0.116457962
182,0.728,1.551056583,0.470470098,0.19423169,-0.124363114
183,0.732,1.677290856,0.532346334,0.210039428,-0.13222408
184,0.736,1.816062459,0.599991443,0.227417158,-0.140038068
185,0.74,1.969120475,0.679567957,0.24658391,-0.1478023
186,0.744,2.13792205,0.757986096,0.267722156,-0.155514019
187,0.748,2.308448935,0.843148414,0.289076455,-0.163170485
188,0.752,2.469098777,0.921386047,0.309193896,-0.170768977
189,0.756,2.645783035,0.998786127,0.331319254,-0.178306796
190,0.76,2.80571425,1.065070354,0.351346705,-0.185781263
191,0.764,2.937592087,1.11455852,0.367861161,-0.193189723
192,0.768,3.052214402,1.149607395,0.382214787,-0.200529544
193,0.772,3.144644797,1.168531808,0.393789421,-0.207798117
194,0.776,3.213928026,1.175583024,0.402465441,-0.214992861
195,0.78,3.259535178,1.169999472,0.408176615,-0.222111218
196,0.784,3.29843656,1.159105171,0.413048057,-0.229150661
197,0.788,3.315698271,1.139850309,0.415209661,-0.236108688
198,0.792,3.324358403,1.119414742,0.41629413,-0.242982826
199,0.796,3.336077286,1.098636421,0.417761632,-0.249770633
200,0.8,3.349570831,1.079730259,0.419451366,-0.256469699
201,0.804,3.369649195,1.064080169,0.421965688,-0.263077642
202,0.808,3.395874765,1.050718333,0.425249795,-0.269592114
203,0.812,3.42302357,1.042615548,0.428649515,-0.276010802
204,0.816,3.452151968,1.030694913,0.432297131,-0.282331424
205,0.82,3.469767668,1.019813011,0.434503064,-0.288551736
206,0.824,3.50098368,1.00962205,0.438412102,-0.294669526
207,0.828,3.510248066,0.995672018,0.439572238,-0.300682622
208,0.832,3.519570231,0.97923207,0.44073961,-0.306588887
209,0.836,3.529596646,0.963458037,0.441995172,-0.312386222
210,0.84,3.535159707,0.946670287,0.442691809,-0.318072567
211,0.844,3.554272255,0.933131053,0.445085185,-0.323645903
212,0.848,3.558047325,0.915354085,0.44555792,-0.32910425
