theta,Cd,Cip
0.295959513,-0.332984775,-0.031774338
0.296168867,-0.343498108,-0.023850728
0.296328064,-0.353664712,-0.015327708
0.296437034,-0.363871606,-0.006224885
0.296495715,-0.374039052,0.003461174
0.296504055,-0.384103565,0.013728955
0.29646201,-0.394124485,0.024576576
0.296369545,-0.404101829,0.036002189
0.296226632,-0.414003576,0.04800943
0.296033254,-0.423890511,0.060596109
0.2957894,-0.433644765,0.073752158
0.29549507,-0.443369861,0.087492643
0.295150271,-0.453056182,0.101831324
0.29475502,-0.462302668,0.116682877
0.294309341,-0.471328559,0.132073877
0.29381327,-0.480373943,0.148099881
0.293266847,-0.489474588,0.164651186
0.292670125,-0.497801967,0.181558947
0.292023164,-0.506663276,0.199232724
0.291326032,-0.513764681,0.216940963
0.290578807,-0.522075179,0.235517485
0.289781575,-0.529267268,0.254045719
0.288934432,-0.536957597,0.273661974
0.28803748,-0.545992121,0.294347416
0.287090834,-0.553653561,0.315066156
0.286094614,-0.561415432,0.336532086
0.28504895,-0.568758485,0.358257647
0.283953981,-0.576371773,0.380490063
0.282809856,-0.58355494,0.403814146
0.28161673,-0.590060938,0.426939569
0.280374768,-0.597110471,0.451038578
0.279084145,-0.604642685,0.47581025
0.277745043,-0.610780655,0.50035438
0.276357654,-0.61652131,0.525147435
0.274922176,-0.621234263,0.550091584
0.27343882,-0.626348728,0.575982444
0.271907801,-0.633245364,0.602887526
0.270329347,-0.638036477,0.630638857
0.268703691,-0.642623826,0.657192708
0.267031076,-0.647355647,0.685042496
0.265311754,-0.650722598,0.712661871
0.263545986,-0.654697937,0.740631788
0.261734039,-0.658490547,0.770396974
0.25987619,-0.66249128,0.800186823
0.257972726,-0.66501176,0.829076093
0.25602394,-0.668128419,0.858883328
0.254030134,-0.671746916,0.890724539
0.251991619,-0.675586012,0.922349514
0.249908713,-0.675520366,0.950544599
0.247781743,-0.678138977,0.982306909
0.245611046,-0.679116802,1.012356872
0.243396963,-0.679989806,1.044563166
0.241139847,-0.680475444,1.07557272
0.238840057,-0.68256872,1.111456462
0.236497961,-0.68173821,1.141022706
0.234113934,-0.68237763,1.173509273
0.23168836,-0.680939213,1.204769614
0.22922163,-0.679220877,1.235990105
0.226714143,-0.677899546,1.266991332
0.224166306,-0.676710194,1.301134874
0.221578533,-0.674321155,1.332420295
0.218951248,-0.670418172,1.360739797
0.216284878,-0.670503266,1.399799652
0.213579863,-0.668890033,1.436417169
0.210836646,-0.663114572,1.462944439
0.20805568,-0.661466356,1.500015147
0.205237423,-0.656609502,1.533262328
0.202382344,-0.652920185,1.571831072
0.199490915,-0.64756422,1.592087545
0.196563617,-0.641864729,1.628488412
0.193600939,-0.636386689,1.662206586
0.190603376,-0.630676767,1.682690251
0.187571429,-0.62479232,1.728662228
0.184505606,-0.617985134,1.754603699
0.181406425,-0.610851255,1.784348573
0.178274405,-0.604388086,1.818215059
0.175110077,-0.596553133,1.848086735
0.171913975,-0.58859781,1.872892209
0.168686641,-0.579812019,1.89841839
0.165428622,-0.570548161,1.934062375
0.162140472,-0.561968834,1.956787943
0.158822753,-0.553535097,1.987935954
0.15547603,-0.542672533,2.023844679
0.152100875,-0.533472409,2.045498045
0.148697866,-0.524829915,2.056635997
0.145267588,-0.512084328,2.087626032
0.141810629,-0.500220982,2.123970185
0.138327586,-0.490612909,2.130717049
0.134819058,-0.477992443,2.157407248
0.131285652,-0.465039841,2.184587206
0.12772798,-0.455093281,2.194279368
0.124146657,-0.440743514,2.220084691
0.120542306,-0.42814874,2.240647572
0.116915552,-0.415981151,2.261782156
0.113267029,-0.402656135,2.27368432
0.109597371,-0.38876444,2.298584166
0.10590722,-0.375915778,2.317585666
0.102197221,-0.359925676,2.333955067
0.098468026,-0.348328766,2.338405943
0.094720286,-0.332591694,2.359658391
0.090954663,-0.319231826,2.373523543
0.087171817,-0.30554157,2.37590166
0.083372417,-0.288164187,2.405711008
0.079557132,-0.278818885,2.400539196
0.075726638,-0.260938451,2.404503534
0.071881611,-0.243129845,2.431347183
0.068022734,-0.232550791,2.432857848
0.064150693,-0.214789395,2.436307304
0.060266174,-0.199728058,2.441686342
0.056369871,-0.188120375,2.432679539
0.052462477,-0.169050418,2.444317154
0.048544691,-0.156562198,2.439325303
0.044617212,-0.14008704,2.442735513
0.040680744,-0.122445526,2.449940832
0.036735993,-0.112635213,2.436051977
0.032783666,-0.093043661,2.441950207
0.028824476,-0.078003607,2.439146755
0.024859133,-0.067075402,2.417633244
0.020888354,-0.048313464,2.4266984
0.016912854,-0.032648141,2.424754068
0.012933353,-0.020885012,2.411249276
0.008950571,-0.007931024,2.395751303
0.004965229,0.008538359,2.38849489
0.000978052,0.026022176,2.391113603
-0.003010237,0.038244624,2.368934116
-0.006998911,0.050457093,2.35421598
-0.010987244,0.068644952,2.348509602
-0.014974508,0.075764658,2.323629816
-0.018959974,0.096027703,2.320072285
-0.022942914,0.107873737,2.300824913
-0.026922596,0.11834963,2.278068607
-0.030898292,0.133267751,2.266178738
-0.034869272,0.144772641,2.2425181
-0.038834803,0.158591568,2.226908407
-0.042794157,0.169388997,2.203996307
-0.046746603,0.179820509,2.182614197
-0.050691411,0.193160062,2.159112446
-0.054627852,0.20324773,2.133890978
-0.058555196,0.211827886,2.1067081
-0.062472716,0.22312688,2.082318707
-0.066379684,0.229817652,2.051934107
-0.070275373,0.246871509,2.035414204
-0.074159059,0.249052014,1.996471189
-0.078030017,0.25922764,1.969387733
-0.081887525,0.273522941,1.95001997
-0.085730862,0.276529954,1.911351682
-0.089559308,0.282681049,1.877387529
-0.093372146,0.29784764,1.85543357
-0.097168659,0.292035572,1.807561134
-0.100948135,0.307323411,1.78858513
-0.104709863,0.314324497,1.758463069
-0.108453132,0.308776961,1.70535848
-0.112177237,0.324194094,1.68637292
-0.115881473,0.325759316,1.650788222
-0.11956514,0.323355172,1.605343139
-0.123227539,0.336954724,1.582092135
-0.126867976,0.331303773,1.536444713
-0.130485758,0.335610651,1.501997838
-0.134080196,0.343227115,1.47262474
-0.137650606,0.339991608,1.43118284
-0.141196305,0.339461168,1.387902834
-0.144716616,0.34504915,1.357868068
-0.148210865,0.340731228,1.319088441
-0.151678382,0.33968933,1.281116828
-0.1551185,0.345663185,1.248134917
-0.158530558,0.343501136,1.211913298
-0.161913898,0.337734512,1.168687852
-0.165267869,0.339616705,1.135463781
-0.168591821,0.334932221,1.100080161
-0.171885112,0.333709668,1.061143482
-0.175147102,0.32807175,1.02198711
-0.178377159,0.329173134,0.991595406
-0.181574654,0.324404038,0.954164772
-0.184738965,0.314650883,0.913986513
-0.187869473,0.313042931,0.877934544
-0.190965568,0.308905712,0.843440131
-0.194026642,0.296437222,0.803548294
-0.197052095,0.294815599,0.774619209
-0.200041332,0.28859534,0.739744075
-0.202993766,0.281422711,0.70329572
-0.205908814,0.269697292,0.666011309
-0.2087859,0.270264912,0.639314118
-0.211624454,0.255715801,0.602655894
-0.214423914,0.248514656,0.570446857
-0.217183722,0.242109795,0.540110097
-0.21990333,0.23030097,0.507625778
-0.222582194,0.221493828,0.47697498
-0.22521978,0.213951286,0.447744131
-0.227815558,0.196274248,0.414281398
-0.230369007,0.195005278,0.391083625
-0.232879614,0.183070904,0.362625692
-0.235346871,0.170501611,0.333623857
-0.23777028,0.159495062,0.306965671
-0.24014935,0.146059762,0.281061221
-0.242483597,0.137755696,0.257442158
-0.244772546,0.122701941,0.231673167
-0.24701573,0.112798735,0.208988556
-0.249212688,0.099801323,0.186041096
-0.25136297,0.087156424,0.164849371
-0.253466133,0.075219737,0.143923861
-0.255521742,0.060540384,0.122909025
-0.257529372,0.051059457,0.105995105
-0.259488605,0.036938448,0.086773503
-0.261399032,0.025759889,0.070070154
-0.263260254,0.010146694,0.05259603
-0.265071881,-0.002019234,0.0368189
-0.266833529,-0.015809169,0.021937216
-0.268544826,-0.029648223,0.008014747
-0.270205409,-0.042780377,-0.004612207
-0.271814923,-0.055518742,-0.01655396
-0.273373023,-0.066084117,-0.026770703
-0.274879373,-0.080615933,-0.036689507
-0.276333647,-0.094085369,-0.04609663
-0.277735529,-0.108145648,-0.054557251
-0.279084712,-0.121428277,-0.06200571
-0.280380898,-0.135223786,-0.068587643
-0.281623801,-0.14844936,-0.074278505
-0.282813142,-0.16135534,-0.079063278
-0.283948654,-0.173775345,-0.082585176
-0.28503008,-0.186275386,-0.085713806
-0.286057173,-0.199769414,-0.087609183
-0.287029694,-0.215632215,-0.089467284
-0.287947418,-0.227618004,-0.089520871
-0.288810127,-0.24077664,-0.089211949
-0.289617615,-0.253442339,-0.088001663
-0.290369687,-0.266004056,-0.085746472
-0.291066156,-0.278269739,-0.082768989
-0.291706848,-0.290728905,-0.078907585
-0.292291598,-0.303539386,-0.074324179
-0.292820253,-0.316288258,-0.068979261
-0.293292669,-0.328745992,-0.062675548
-0.293708715,-0.340707451,-0.055680964
-0.294068268,-0.353236073,-0.047902903
-0.294371218,-0.365165551,-0.039333284
-0.294617465,-0.377256236,-0.030001347
-0.29480692,-0.389202268,-0.019920094
-0.294939505,-0.401002516,-0.009063054
-0.295015152,-0.412749803,0.002547479
-0.295033806,-0.42424095,0.014912318
-0.294995421,-0.435836133,0.028039114
-0.294899963,-0.447365159,0.041939158
-0.294747409,-0.458625668,0.056582208
-0.294537748,-0.469803595,0.072007703
-0.294270978,-0.481195484,0.088191414
-0.293947111,-0.492736427,0.10511923
-0.293566166,-0.503947379,0.122887744
-0.293128178,-0.514567639,0.141351687
-0.29263319,-0.525542999,0.160589903
-0.292081257,-0.536892675,0.180747483
-0.291472446,-0.548337935,0.201749094
-0.290806833,-0.559120169,0.22350791
-0.290084509,-0.569404698,0.245830588
-0.289305572,-0.57995433,0.269353055
-0.288470134,-0.590041182,0.293172953
-0.287578317,-0.599561555,0.31777533
-0.286630256,-0.609105717,0.342898372
-0.285626094,-0.618780578,0.368917465
-0.284565989,-0.62947316,0.396133694
-0.283450106,-0.638776335,0.423865637
-0.282278626,-0.648382856,0.452914698
-0.281051736,-0.657421177,0.482049054
-0.279769638,-0.666486964,0.512534571
-0.278432545,-0.674643145,0.543195297
-0.277040678,-0.684040046,0.575719455
-0.275594272,-0.692300419,0.608015284
-0.274093572,-0.700970962,0.640671692
-0.272538834,-0.706724163,0.672957973
-0.270930325,-0.714568569,0.707869199
-0.269268324,-0.721614695,0.742868469
-0.267553118,-0.729238702,0.778323321
-0.265785009,-0.735048028,0.814893828
-0.263964306,-0.741623188,0.851019468
-0.262091332,-0.746036732,0.887647041
-0.260166418,-0.751198465,0.924402151
-0.258189908,-0.756578962,0.964319514
-0.256162155,-0.761697465,1.00440363
-0.254083523,-0.764331793,1.041854733
-0.251954387,-0.769371244,1.082163464
-0.249775132,-0.774390502,1.125294854
-0.247546154,-0.778174601,1.1641955
-0.245267859,-0.777618752,1.203390231
-0.242940664,-0.780719338,1.244203031
-0.240564994,-0.783895473,1.289366241
-0.238141287,-0.784543945,1.327626912
-0.23566999,-0.784999653,1.372182972
-0.233151559,-0.785073354,1.413345732
-0.230586461,-0.786741456,1.45632607
-0.227975173,-0.785612539,1.498966806
-0.225318182,-0.784096258,1.539210569
-0.222615984,-0.78214656,1.578484205
-0.219869084,-0.779649875,1.622931381
-0.217077999,-0.779599628,1.666245152
-0.214243253,-0.773826902,1.704590556
-0.21136538,-0.774531199,1.762533733
-0.208444924,-0.77087498,1.798744939
-0.205482438,-0.765839733,1.83648147
