time,theta,omega,real_moment,Cd,Cip
0.312,0.169899078,0.156579946,0.042178503,-0.229434162,-0.132324339
0.316,0.170498762,0.14325278,0.043577895,-0.238675791,-0.125078232
0.32,0.171045026,0.129869908,0.044823985,-0.245738114,-0.11663568
0.324,0.171537653,0.116435506,0.046135807,-0.253124171,-0.107630656
0.328,0.171976447,0.102953772,0.047415179,-0.260762766,-0.097807483
0.332,0.172361226,0.089428925,0.048722674,-0.267860543,-0.087301469
0.336,0.172691826,0.075865203,0.050067894,-0.275813139,-0.076105208
0.34,0.172968101,0.062266859,0.051137146,-0.280253212,-0.063797825
0.344,0.173189921,0.048638165,0.052439086,-0.288102552,-0.051102804
0.348,0.173357172,0.034983408,0.053683246,-0.294985418,-0.037628188
0.352,0.173469759,0.021306885,0.054896088,-0.301284138,-0.023435477
0.356,0.173527604,0.007612909,0.056112373,-0.307762256,-0.008558974
0.36,0.173530645,-0.006094198,0.057322463,-0.314009408,0.006999288
0.364,0.173478838,-0.019810105,0.058520198,-0.320091786,0.023227635
0.368,0.173372158,-0.033530471,0.059708663,-0.325900568,0.040113396
0.372,0.173210594,-0.04725095,0.060878559,-0.331457913,0.057635138
0.376,0.172994156,-0.060967191,0.062095735,-0.33740513,0.075852585
0.38,0.172722868,-0.074674837,0.063240304,-0.342576035,0.094619502
0.384,0.172396774,-0.088369529,0.06431261,-0.346747249,0.113870468
0.388,0.172015935,-0.10204691,0.065449819,-0.351253096,0.133819911
0.392,0.171580428,-0.115702618,0.066552236,-0.355696419,0.15428307
0.396,0.171090349,-0.129332297,0.067675909,-0.359573642,0.17536928
0.4,0.17054581,-0.142931592,0.068707784,-0.362904368,0.196764435
0.404,0.169946942,-0.156496151,0.069754457,-0.366886162,0.218719777
0.408,0.169293893,-0.170021632,0.070847033,-0.369958828,0.241344983
0.412,0.168586827,-0.183503695,0.071806251,-0.372158161,0.264009464
0.416,0.167825927,-0.196938013,0.072887077,-0.375955474,0.287602408
0.42,0.167011393,-0.210320267,0.073904528,-0.379343244,0.311432979
0.424,0.16614344,-0.223646148,0.074925412,-0.381125208,0.335739929
0.428,0.165222304,-0.236911363,0.075914471,-0.383411351,0.360348644
0.432,0.164248236,-0.25011163,0.077028845,-0.386040152,0.386011018
0.436,0.163221503,-0.263242684,0.077946879,-0.386762381,0.411118925
0.44,0.162142392,-0.276300277,0.078976641,-0.38833512,0.437212338
0.444,0.161011205,-0.28928018,0.079840316,-0.388815627,0.462757385
0.448,0.15982826,-0.302178182,0.080820539,-0.389544685,0.489324855
0.452,0.158593894,-0.314990093,0.081706112,-0.389504277,0.515660502
0.456,0.15730846,-0.327711747,0.082644586,-0.389843542,0.542648802
0.46,0.155972326,-0.340339001,0.083511191,-0.389756421,0.56946735
0.464,0.154585879,-0.352867737,0.084441075,-0.388814284,0.597005231
0.468,0.153149521,-0.365293864,0.085230599,-0.388511558,0.62380715
0.472,0.15166367,-0.377613319,0.086080283,-0.387097208,0.651273516
0.476,0.150128762,-0.389822066,0.086804018,-0.385321154,0.677982799
0.48,0.148545247,-0.401916102,0.087579758,-0.383068311,0.705263776
0.484,0.146913591,-0.413891455,0.088344366,-0.381518795,0.732618275
0.488,0.145234279,-0.425744187,0.08910839,-0.379398981,0.760115789
0.492,0.143507807,-0.437470393,0.08979191,-0.376352447,0.787042719
0.496,0.141734689,-0.449066204,0.090544308,-0.373540787,0.814674186
0.5,0.139915456,-0.46052779,0.091419409,-0.370245589,0.843541944
