time,theta,Cd,Cip
0.572,0.085043513,-0.001331903,0.018060112
0.576,0.084790864,-0.001713094,0.019277353
0.58,0.084524826,-0.002006254,0.020500635
0.584,0.084245441,-0.00222823,0.021712117
0.588,0.083952752,-0.002631767,0.022973627
0.592,0.083646806,-0.002848273,0.024246555
0.596,0.083327651,-0.003094509,0.025532041
0.6,0.082995338,-0.003307743,0.026824747
0.604,0.082649919,-0.003653292,0.028174324
0.608,0.082291448,-0.003791688,0.029475498
0.612,0.081919983,-0.004120365,0.030813137
0.616,0.081535582,-0.004366925,0.032267023
0.62,0.081138305,-0.004230786,0.03352981
0.624,0.080728215,-0.00445224,0.034859751
0.628,0.080305378,-0.004470953,0.036251007
0.632,0.07986986,-0.004569759,0.037613681
0.636,0.079421729,-0.004588592,0.039024228
0.64,0.078961056,-0.004471262,0.040403947
0.644,0.078487915,-0.004571025,0.041809224
0.648,0.078002379,-0.004623183,0.043166866
0.652,0.077504526,-0.004615616,0.044606787
0.656,0.076994434,-0.004453979,0.045973112
0.66,0.076472184,-0.004474694,0.047378742
0.664,0.075937858,-0.004359676,0.048818724
0.668,0.075391541,-0.004074488,0.050391597
0.672,0.074833318,-0.004062509,0.051699299
0.676,0.074263278,-0.004034055,0.053112608
0.68,0.073681511,-0.003807827,0.054452804
0.684,0.073088109,-0.003641891,0.055868973
0.688,0.072483166,-0.003530593,0.057354842
0.692,0.071866777,-0.003396511,0.058807608
0.696,0.071239039,-0.003165839,0.060166287
0.7,0.070600051,-0.002922172,0.061559984
0.704,0.069949915,-0.0024701,0.062957195
0.708,0.069288733,-0.002241404,0.064313133
0.712,0.06861661,-0.001866697,0.065709259
0.716,0.067933651,-0.001606635,0.067052313
0.72,0.067239965,-0.001201419,0.068393054
0.724,0.066535661,-0.001045643,0.069618274
0.728,0.06582085,-0.000546385,0.071082332
0.732,0.065095645,-0.0000684,0.072389148
0.736,0.064360161,0.000394121,0.073593119
0.74,0.063614513,0.000998124,0.074934948
0.744,0.062858821,0.001397193,0.076179154
0.748,0.062093202,0.00172224,0.077362314
0.752,0.061317777,0.002372354,0.078673302
0.756,0.06053267,0.002640126,0.079841384
0.76,0.059738004,0.003211999,0.081100757
0.764,0.058933905,0.003730478,0.082300975
0.768,0.0581205,0.004343295,0.083421205
0.772,0.057297916,0.00467023,0.084534699
0.776,0.056466285,0.005227617,0.085682509
0.78,0.055625737,0.006084762,0.086798749
0.784,0.054776405,0.00664467,0.087764166
0.788,0.053918423,0.007354218,0.088901971
0.792,0.053051927,0.007935314,0.090044037
0.796,0.052177053,0.008541218,0.090979068
0.8,0.05129394,0.008842165,0.091867404
0.804,0.050402727,0.009778529,0.093021249
0.808,0.049503555,0.010473418,0.093896001
0.812,0.048596565,0.011209729,0.094747971
0.816,0.047681902,0.011824378,0.095652929
0.82,0.046759709,0.012428367,0.096421661
0.824,0.045830132,0.013099115,0.097384936
0.828,0.044893318,0.014003082,0.098115494
0.832,0.043949415,0.014821062,0.098901564
0.836,0.042998572,0.015301553,0.099534608
0.84,0.042040939,0.016365056,0.10029669
0.844,0.041076667,0.01698293,0.101131008
0.848,0.040105909,0.017689341,0.101643325
0.852,0.039128817,0.01842046,0.102422053
0.856,0.038145547,0.019288313,0.102918283
0.86,0.037156253,0.020012303,0.103470615
0.864,0.036161091,0.020906159,0.104127596
0.868,0.035160219,0.021734025,0.104658357
0.872,0.034153795,0.022281009,0.104883647
0.876,0.033141978,0.023083803,0.105100575
0.88,0.032124928,0.024202862,0.105599112
0.884,0.031102804,0.024972663,0.105848367
0.888,0.030075769,0.025779816,0.105989251
0.892,0.029043984,0.02665561,0.106273411
0.896,0.028007614,0.027537944,0.10647426
0.9,0.02696682,0.028373846,0.106684305
0.904,0.025921768,0.029037198,0.106919785
0.908,0.024872623,0.029611806,0.107042054
0.912,0.02381955,0.030297655,0.107117143
0.916,0.022762716,0.031375902,0.107419341
0.92,0.021702287,0.032363437,0.107256559
0.924,0.020638431,0.033207832,0.107289094
0.928,0.019571316,0.033671339,0.107159029
0.932,0.018501111,0.034647792,0.107142847
0.936,0.017427984,0.035544893,0.107123162
0.94,0.016352104,0.036324187,0.107045478
0.944,0.015273643,0.037001475,0.1067585
0.948,0.01419277,0.037465524,0.106391715
0.952,0.013109656,0.03873302,0.106386267
0.956,0.012024471,0.039215034,0.105859164
0.96,0.010937388,0.040343426,0.10545072
0.964,0.009848577,0.041090243,0.105008262
0.968,0.008758212,0.041529043,0.104401853
0.972,0.007666463,0.042511851,0.103973951
0.976,0.006573504,0.043429128,0.103616515
0.98,0.005479507,0.044326796,0.103137869
0.984,0.004384644,0.044659668,0.102522015
0.988,0.003289089,0.045184322,0.101781939
0.992,0.002193015,0.045082472,0.100728297
0.996,0.001096594,0.0463745,0.100173784
1,1.07E-17,0.04748951,0.099641722
1.004,-0.002193188,0.06,0.274628363
1.008,-0.004386029,0.087749284,0.350080395
1.012,-0.006578178,0.088429574,0.38530134
1.016,-0.008769288,0.086961712,0.38970397
1.02,-0.010959013,0.087191525,0.390264302
1.024,-0.013147008,0.086981825,0.391070743
1.028,-0.015332926,0.08878802,0.391708575
1.032,-0.017516424,0.088571397,0.393868967
1.036,-0.019697155,0.089004568,0.393477774
1.04,-0.021874776,0.090339225,0.396091189
1.044,-0.024048942,0.091763093,0.397164177
1.048,-0.026219312,0.093610472,0.397951521
1.052,-0.02838554,0.093943722,0.397859811
1.056,-0.030547286,0.095874268,0.398773522
1.06,-0.032704209,0.09697518,0.399125219
1.064,-0.034855967,0.098943265,0.399238372
1.068,-0.037002221,0.100846579,0.398696692
