0,0,0,0,0,0,0,0,0,0
1380,88,23,42,94,740,2340,0.2,6.5,14.2
2320,93,21,34,93,680,2150,6.8,5.7,129.4
2743,88,16,33,79,670,2115,5.5,6.1,104.1
3740,450,55,100,201,2190,6920,8.3,16.4,192.71
4400,194,45,95,158,1410,4455,0.3,14.1,12.1
5000,196,33,68,105,830,2625,0.08,9.1,12.8
5834,333,57,117,181,1300,4110,0.1,23,11.4
7085,467,90,168,260,1730,5470,1,29.11,43.7
7400,338,70,141,272,1860,5890,5.8,16.9,117.4
9262,338,66,151,283,1860,5880,9.8,12.9,180.2
9631,683,121,263,368,2360,7460,2.1,43.6,78.5
11065,505,81,181,283,1710,5405,0.4,28.6,23.5
11286,667,111,229,329,2540,8025,7.3,32.5,177.4
13398,1032,183,397,511,3390,10710,1.2,60,55.8
